Iteration	Posterior	Likelihood	Prior	distance_scale	extirpation_rate	log10_rate_bg	rate_bg
2640	-33.7132	-25.5295	-8.18363	0.01	2.541453	-1.952138	0.01116507
2650	-31.1848	-25.1115	-6.07331	0.01	1.543925	-2.406478	0.003922133
2660	-30.5184	-25.2869	-5.23144	0.01	1.114959	-2.284801	0.005190383
2670	-30.4024	-25.4308	-4.97167	0.01	0.9491286	-2.243564	0.005707367
2680	-31.5653	-26.415	-5.15026	0.01	1.067026	-1.953178	0.01113838
2690	-32.6578	-25.1547	-7.50303	0.01	2.215363	-2.556197	0.002778455
2700	-33.0902	-26.5052	-6.58503	0.01	1.78496	-2.907213	0.001238188
2710	-30.5874	-25.2552	-5.33219	0.01	1.171564	-2.27524	0.005305911
2720	-30.5988	-25.3357	-5.26309	0.01	1.133038	-2.419604	0.003805359
2730	-30.4499	-25.4873	-4.96259	0.01	0.9424037	-2.205632	0.006228279
2740	-30.4207	-25.3456	-5.07515	0.01	1.020081	-2.296133	0.005056696
2750	-31.6522	-26.5273	-5.12496	0.01	1.051538	-1.939497	0.01149485
2760	-31.7019	-25.6646	-6.03731	0.01	1.526733	-2.651514	0.00223093
2770	-32.1154	-26.0866	-6.02879	0.01	1.522657	-2.778122	0.001666778
2780	-31.5706	-25.826	-5.74456	0.01	1.384663	-2.008671	0.009802329
2790	-30.4168	-25.5456	-4.87125	0.01	0.867054	-2.206662	0.006213527
2800	-33.6905	-24.6008	-9.08969	0.01	2.991525	-2.402542	0.00395784
2810	-30.7457	-25.9374	-4.80832	0.01	0.7985593	-2.634841	0.002318245
2820	-32.0768	-24.7998	-7.27709	0.01	2.108794	-2.315703	0.004833895
2830	-30.6931	-25.7857	-4.90741	0.01	0.5254765	-2.258747	0.005511282
2840	-31.752	-26.5977	-5.15424	0.01	1.069437	-1.927923	0.0118053
2850	-30.7998	-25.3162	-5.4836	0.01	1.25249	-2.452181	0.003530361
2860	-30.5446	-25.7577	-4.78691	0.01	0.6165108	-2.215378	0.006090073
2870	-32.2899	-26.5486	-5.74134	0.01	0.3415351	-2.079388	0.008329369
2880	-31.0999	-25.8438	-5.25615	0.01	0.4183577	-2.321947	0.004764889
2890	-33.0109	-24.6064	-8.40442	0.01	2.649272	-2.297822	0.005037071
2900	-30.9649	-25.3041	-5.66085	0.01	1.343008	-2.157324	0.006961069
2910	-31.7091	-26.8655	-4.84362	0.01	0.8398128	-1.923608	0.01192318
2920	-30.37	-25.4476	-4.9224	0.01	0.9112471	-2.397263	0.004006245
2930	-30.5226	-25.4104	-5.11217	0.01	1.043589	-2.206463	0.006216374
2940	-30.9165	-25.877	-5.03948	0.01	0.9966244	-2.64888	0.002244504
2950	-31.4744	-26.2148	-5.25955	0.01	1.131034	-2.776012	0.001674897
2960	-32.9872	-24.6295	-8.35776	0.01	2.626393	-2.331945	0.004656447
2970	-32.631	-26.6979	-5.93311	0.01	1.47668	-2.935093	0.001161201
2980	-33.4763	-24.5714	-8.90497	0.01	2.89806	-2.196865	0.00635529
2990	-30.6163	-25.2438	-5.37245	0.01	1.193502	-2.270821	0.005360175
3000	-30.9229	-25.8409	-5.082	0.01	1.024491	-2.062157	0.008666487
3010	-30.3392	-25.5522	-4.78698	0.01	0.7663238	-2.267075	0.005406609
3020	-30.5882	-25.745	-4.84326	0.01	0.5627197	-2.260805	0.005485235
3030	-33.0714	-25.4268	-7.64467	0.01	2.282539	-2.654265	0.002216844
3040	-30.7025	-25.5252	-5.17732	0.01	1.083278	-2.520558	0.003016071
3050	-30.665	-25.4185	-5.24657	0.01	1.123639	-2.474064	0.003356883
3060	-31.5822	-26.8034	-4.77873	0.01	0.7504273	-2.904693	0.001245396
3070	-30.6675	-25.8418	-4.82571	0.01	0.8201031	-2.600748	0.002507564
3080	-30.5045	-25.4005	-5.10406	0.01	1.038503	-2.428445	0.003728677
